教程说明书,#genre#
使用以及反馈说明,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/TVBox%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E.mp4?sign=oa-ocIOSN0GFXv5A-inSPxzrBIuqtF93upUXaFYHq_o=:0
斐讯N1刷第三方系统教程,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/%E6%96%90%E8%AE%AFN1%E7%9B%92%E5%AD%90%E6%95%91%E7%A0%96%E4%BB%A5%E5%8F%8A%E5%88%B7%E7%AC%AC%E4%B8%89%E6%96%B9%E7%B3%BB%E7%BB%9F%E6%95%99%E7%A8%8B.mp4?sign=dXYZzBEpz7OGfVMIybpLRLWKG5yQzIWFZoeu1oH7wx0=:0
使用replit搭建一个alist网盘教程,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E8%A7%86%E9%A2%91%E6%95%99%E7%A8%8B/%E6%95%99%E4%BD%A0%E7%94%A8replit%E6%90%AD%E5%BB%BAalist%E6%95%99%E7%A8%8B.mp4?sign=xCibrXxpvYqJdJkia1V7siiSCQ8Uq2jcZ0APCI8Lycg=:0
进恩哥卫视,https://alist.jinenyy.vip/d/%E7%94%A8%E6%88%B7%E4%B8%8A%E4%BC%A0/%E8%BF%9B%E6%81%A9%E5%93%A5%E5%8D%AB%E8%A7%86%EF%BC%88%E8%87%AA%E5%88%9B%E9%A2%91%E9%81%93%EF%BC%89.mp4?sign=Vjv9ExzSlZsqETMSNn1-gm3-DIRJjQ3nIGpuUMhIPuw=:0
中央卫视,#genre#
CCTV-1 综合,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV-2 财经,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV-3 综艺,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV-4 中文国际,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV-5 体育,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV-5+ 体育赛事,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV-6 电影,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV-7 国防军事,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV-8 电视剧,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV-9 纪录,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV-10 科教,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV-11 戏曲,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV-12 社会与法,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV-13 新闻,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV-14 少儿,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV-15 音乐,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV-16 奥林匹克,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV-17 农业农村,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV-4K 超高清,https://cntv.sbs/tv?auth=2310201855&id=cctv4k
CCTV-16 4K,https://cntv.sbs/tv?auth=2310201855&id=cctv164k

CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8   
CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
CCTV-11 戏曲,http://59.47.226.94:8880/sql/2602/hls.m3u8
CCTV-16 奥林匹克,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000 
